"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Sacramento County Sheriff's Dept","Sacramento","20SW00215","01/27/2020 - 17:40","The search warrant was ordered sealed by the court","Homicide"," "," ","Business","Google.com","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","Sat, 2019-04-13","Sun, 2019-07-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","20SW00215","01/27/2020 - 17:42","The search warrant was ordered sealed by the court","Homicide"," "," ","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-04-13","Sun, 2019-07-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","20SW00215","01/27/2020 - 17:44","The search warrant was ordered sealed by the court","Homicide"," "," ","Business","Apple","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-04-13","Sun, 2019-07-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriffs Dept","Sacramento","20SW00215","01/27/2020 - 17:46","The search warrant was ordered sealed by the court","Homicide"," "," ","Business","Apple","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-04-13","Sun, 2019-07-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","20SW00214","01/28/2020 - 09:53","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","tmobile and verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-11-27","Fri, 2019-12-27","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","20SW00214","01/28/2020 - 09:55","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","tmobile and verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-11-27","Fri, 2019-12-27","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","20SW00216","01/28/2020 - 09:57","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","20SW00216","01/28/2020 - 09:59","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","20SW00216","01/28/2020 - 10:00","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","20SW00216","01/28/2020 - 10:04","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook (Instagram)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Diego PD","San Diego"," ","01/28/2020 - 10:29","ID Theft","Theft/Fraud"," ","ID Theft","Business","Google, TextNow, Quadranet","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-06-01","Wed, 2019-10-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles"," ","01/28/2020 - 14:25","Subject uploaded files depicting child pornography","Child Exploitation"," "," ","Business","Google, Inc.","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Fri, 2019-09-20","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles"," ","01/28/2020 - 14:29","Academia.edu user also created a google email account where he/she uploaded images depicting child pornography.","Child Exploitation"," "," ","Business","Academia.edu","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-04-01","Thu, 2019-10-17","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Westminster","Orange"," ","01/29/2020 - 09:39","This Snapchat username was reported to have been used by a murder suspect who fled the area. We were attempting to retrieve location information and messages.","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2019-06-13","Fri, 2019-10-04","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Los Angeles Police Department","Los Angeles","ES19-511387","01/29/2020 - 17:40","Attempted murder warrant number LACBA46953202.","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Wed, 2019-10-23","There is a warrant to arrest a person","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Stockton Police Department","San Joaquin"," ","01/30/2020 - 09:59","A homicide investigation regarding an incident that took place on January 13th, 2020 in the City of Stockton, CA. ","Homicide"," "," ","Business","Facebook, Inc and Ring.com","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-06-01","Tue, 2020-01-14","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Lemoore Police Department","Kings","20-029A","01/30/2020 - 11:12","Cell phone was reported to have multiple pictures of identity theft material.","Theft/Fraud"," ","ID Theft","Device Only"," ","Stored files (picture, documents, or other files)","Wed, 2020-01-01","Fri, 2020-01-10","was stolen or embezzled"," ","No"," "
"Sacramento Police Department","Sacramento"," ","01/30/2020 - 14:49","The criminal statutes involved in this investigation are violations of the following:
1. Felony violation Penal Code 211 PC.  Robbery
2. Felony violation Penal Code 3056 PC. Parole Violation","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Addressing information (pen register or trap and trace)
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-12-13","Sun, 2020-01-12","Active arrest warrant for the person","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"California State University Long Beach Police Dept.","Los Angeles","LB205105","01/30/2020 - 15:13","CPC 215 - Carjacking","Crime of Violence","Robbery"," ","Business","AT&T, Sprint, Verizon, T-Mobile, MetroPCS","Location information
Tower Dump Records
","Wed, 2019-11-13","Thu, 2019-11-14","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Placer County Sheriff's Office","Placer","63-20454","01/30/2020 - 16:01","Residential burglary investigation","Theft/Fraud"," "," ","Device Only"," ","Location information","Fri, 2019-07-19","Fri, 2019-07-19","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento Police Department","Sacramento"," ","01/31/2020 - 12:09","Cell phone found in a park after a gang fight. Per the victim the phone belonged to one of the suspects.","Crime of Violence","Assault","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2010-01-31","Wed, 2020-01-22","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"California Department of Corrections and Rehabilitation","Imperial","2020-027","01/31/2020 - 12:48","Possession of contraband cellular telephones by inmates incarcerated in California State Prisons. This investigation specifically targeted inmates housed at Calipatria State Prison located at address 7018 Blair Road, Calipatria CA, 92233","Contraband cellular telephone posession in California State Prisons"," ","Gang Related
ID Theft
","Device Only"," ","subscriber/account termination order","Tue, 2020-01-14","Fri, 2020-01-17","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
"," ","No"," "
"Sacramento Sheriff's Office","Sacramento","20SW00277","02/03/2020 - 09:35","Homicide investigation. ","Homicide"," "," ","Business","Facebook Inc","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-06-01","Mon, 2020-01-13","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Oakland Police Department","Alameda","19-021729","02/03/2020 - 11:08","Murder ","Homicide"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Wed, 2019-05-01","Wed, 2019-05-01","was used as the means of committing a felony"," ","No"," "
"Long Beach Police Department","Los Angeles"," ","02/03/2020 - 11:44","Homicide detectives were investigating a gang member for his potential role in a murder.  That gang member was linked to a stolen car in which two phones were recovered.  Phones did not belong to the owner of the car.  Detectives were unable bypass the lock on the phone and only obtained limited information from sim cards.  Detectives were therefore unable to link the phones to an identifiable target.  ","Homicide
Theft/Fraud
2 phones found in a stolen car that did not belong to the vehicle's owner.
"," ","Gang Related","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-11-05","Tue, 2019-11-05","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Elk Grove Police Department","Sacramento","20SW00289","02/03/2020 - 15:40","Attempt to identify the subject using this account as they are linked to sexual assault.","Crime of Violence","Assault"," ","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-08-04","Mon, 2019-09-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"Elk Grove Police Department","Sacramento","20SW00311","02/03/2020 - 15:43","Attempt to identify the subject using this account as they are linked to sexual assault.","Crime of Violence","Assault"," ","Business","TextNow, Inc.","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
","Sun, 2019-08-04","Mon, 2019-09-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"California Department of Justice","Alameda"," ","02/03/2020 - 15:57","Business Email Compromise fraudulent crime with only a Bank of America account number","Computer Crime Fraud"," ","ID Theft","Business","Bank of America","financial records and other account holder information on that account","Mon, 2019-02-25","Wed, 2019-10-30","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"California Department of Justice","Alameda"," ","02/03/2020 - 16:02","Business Email Compromise with only clue was an account number which led to a cashier's check.","Computer Crime Fraud"," ","ID Theft","Business","Wells Fargo Bank","Communications (email, text, voice mail, or other communication)
financial records and other account holder information
","Tue, 2019-01-01","Tue, 2020-01-14","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento Police Department","Sacramento","20SW00312","02/03/2020 - 18:27","Sacramento PD responded to a shooting that occurred at 5365 48th St. Search warrants to Google LLC, Apple Inc, and Verizon Wireless were written in relation to this search warrant.","Crime of Violence","Assault","Gang Related","Business","Google LLC, Apple Inc, Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-11-18","Fri, 2018-12-14","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Sacramento Police Department","Sacramento","20SW00313","02/03/2020 - 18:36","Sacramento PD responded to a robbery where Anthony Hord and Gabriel Williams were identified as suspects. Detectives wrote a search warrant to Verizon Wireless.","Crime of Violence","Assault
Robbery
","Gang Related","Business","Verizon Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-12-16","Wed, 2020-01-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"CA Dept of Insurance Fraud Division","San Joaquin","SSW 19-566","02/04/2020 - 11:25","INSURANCE FRAUD/ARSON","Theft/Fraud"," "," ","Business","ATT Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-01","Sat, 2019-06-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles"," ","02/04/2020 - 13:10","Confidential special assault investigation. ","Special Assault"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-12-04","Wed, 2019-12-11","Prop seized tends to show felony has been committed."," ","No"," "
"Monterey County DA's Office","Monterey","20-047","02/04/2020 - 13:19","Attempted homicide case. ","Crime of Violence","Assault","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2017-12-01","Sat, 2018-01-13","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Police Department","Los Angeles","84475","02/04/2020 - 14:13","Victim was in communication with the possible suspect via text messages.","Homicide"," "," ","Business","Ad Hoc Labs Inc.","Basic subscriber information from a service provider","Wed, 2019-09-25","Mon, 2019-12-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"California Department of Justice","Los Angeles"," ","02/05/2020 - 15:10","The California Department of Justice received a tip came in through the CA DOJ clergy abuse hotline alleging sexual abuse of minors by Naason JOAQUIN GARCIA, the leader of the La Luz Del Mundo church (LLDM).  ","Child Exploitation
Human Trafficking
"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2015-06-01","Mon, 2019-06-03","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
"," ","No"," "
"Los Angeles Police Department","Los Angeles","CC208471","02/06/2020 - 08:02","Suspect(s) accessed Victim's email account and directed 3rd party to wire transfer money into Suspects' bank accounts. ","Computer Crime Fraud"," "," ","Business","Google LLC","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Thu, 2019-08-29","Tue, 2019-10-29","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Irvine Police Dept","Orange","19-10859","02/06/2020 - 14:28","Homicide investigation where unknown suspects entered victim's home in an apparent robbery. Victim sustained gunshot wounds and later died.  This phone number was in contact with an identified suspect in the murder before and after the crime.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Mon, 2019-10-07","Thu, 2019-11-07","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"California Highway Patrol","Alameda","WAR589172","02/06/2020 - 16:24","ID Theft and counterfeiting ","Computer Crime Fraud"," ","ID Theft","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Thu, 2020-02-06","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Montclair PD","San Bernardino","RASW200105","02/07/2020 - 16:07","Ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Fri, 2020-01-17","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino","RASW200107","02/07/2020 - 16:09","Ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Fri, 2020-01-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino","RASW200138","02/07/2020 - 16:11","Ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-10-01","Tue, 2020-01-21","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino","RASW200160","02/07/2020 - 16:13","Ongoing homicide investigation","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Fri, 2020-01-24","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino","RASW200166","02/07/2020 - 16:15","Homicide investigation to locate suspects","Homicide"," "," ","Device Only"," ","Addressing information (pen register or trap and trace)","Mon, 2020-01-27","Wed, 2020-01-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino","RASW200167","02/07/2020 - 16:19","Locate suspect in ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Addressing information (pen register or trap and trace)","Mon, 2020-01-27","Fri, 2020-01-31","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution","No"," "
"Yolo County District Attorney's Office","Yolo","20-45","02/10/2020 - 10:22","132 PC, 134 Investigation - Offering false evidence","Computer Crime Fraud"," "," ","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","Fri, 2017-12-08","Thu, 2018-02-08","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Sheriff's Department","Sacramento","20sw00325","02/10/2020 - 13:06","PC 187","Homicide"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2010-02-10","Tue, 2019-04-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Davis Police Department","Yolo","20-28","02/10/2020 - 15:01","A homicide occurred.  I am investigating the homicide.","Homicide"," "," ","Residence
Device Only
"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-11-19","Thu, 2020-01-23","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Police Department","Sacramento"," ","02/10/2020 - 16:09","Homicide Investigation. ","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2017-01-01","Wed, 2019-07-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Placer County Sheriff's Office","Placer","63-020876","02/10/2020 - 16:13","Grand Theft ($12,000) from Chevrolet Dealership after hours.  Video of suspects on car lot.","Theft/Fraud"," "," ","Business","Google LLC","Location information","Fri, 2019-05-17","Fri, 2019-05-17","Item is evidence and shows a felony has been committed or tends to show that a particular person has committed a felony"," ","No"," "
"Sacramento Police Department","Sacramento"," ","02/10/2020 - 16:23","Homicide Investigation. ","Homicide"," "," ","Business
Device Only
","Apple, Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-07-01","Mon, 2019-12-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Huntington Beach Police Department","Orange","NA","02/11/2020 - 15:18","This search warrant requests business records pursuant to an elder fraud investigation.","Theft/Fraud"," "," ","Business","Multiple, see warrant","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-01-01","Sat, 2020-02-01","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Sacramento Police Department","Sacramento"," ","02/11/2020 - 16:17","The search warrant has been ordered sealed by the courts. The investigation is related to a felony assault and to a felony auto theft. ","Crime of Violence","Assault","Gang Related","Business","Google LLC","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-06-09","Mon, 2019-09-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","1984083","02/12/2020 - 11:02","victim was shot on May 20, 2019. One has been arrested, additional suspects are still outstanding. ","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-01","Tue, 2019-11-05","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"LBPD","Los Angeles","LB205179","02/12/2020 - 11:38","Criminal Threats","Threats/Harassment"," "," ","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-09-01","Wed, 2019-10-09","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Sunnyvale Police","Santa Clara"," ","02/14/2020 - 12:42","Attempted Homicide ","Crime of Violence","Assault","Gang Related","Business","Snapchat","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Fri, 2019-12-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Gatos-Monte Sereno Police Department","Santa Clara","Not Yet Available ","02/15/2020 - 08:49","This is a GEOFENCE search warrant to try to identify the subject who completed robberies at two credit unions in 2019.","Theft/Fraud"," "," ","Device Only"," ","Location information","Thu, 2019-09-26","Fri, 2019-12-13","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Anaheim Police Department","Orange"," ","02/18/2020 - 10:54","Suspected Child Pornography on Suspect's cellphone","Child Exploitation"," ","Minors","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2012-01-01","Thu, 2020-01-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
"," ","No"," "
"Corona Police Department","Riverside","RI0213202014","02/18/2020 - 12:20","Fraud purchase if forklifts.  SW ref. search of email address used to open up Offer Up account. ","Theft/Fraud"," "," ","Business","Google","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
","Fri, 2019-11-01","Sat, 2020-02-01","was used as the means of committing a felony"," ","No"," "
"Novato Police Department","Marin"," ","02/18/2020 - 16:32","To identify whether the suspect was an adult and had knowledge the victim was a minor. ","Victim (minor) sent other user photos of herself nude. "," ","Minors","Business","Instagram (Facebook), Snapchat and Cashapp (SquareUp). ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2019-11-01","Tue, 2019-12-17","was used as the means of committing a felony","lead to destruction of or tampering with evidence","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 09:57","Homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Wed, 2019-07-17","Wed, 2019-07-24","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 09:59","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Wed, 2019-07-17","Wed, 2019-07-24","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
